2014-05-29 17:40:35,701 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-ear:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/pom.xml.
2014-05-29 17:40:35,735 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:40:35,745 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:40:35,936 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:40:35,937 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:40:36,685 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:40:36,686 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:40:36,971 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:40:36,971 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/src/main/resources
2014-05-29 17:40:37,725 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-ear:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/pom.xml.
2014-05-29 17:40:37,735 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:40:37,737 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:40:37,790 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:40:37,791 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:00,894 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-ear:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/pom.xml.
2014-05-29 17:41:00,902 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:00,903 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:00,958 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:00,960 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:01,073 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:01,074 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:01,100 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:01,100 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/src/main/resources
2014-05-29 17:41:01,686 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-ear:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/pom.xml.
2014-05-29 17:41:01,694 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:01,696 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:01,881 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:01,882 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:02,450 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:02,451 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-ejb:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:02,480 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:02,480 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/src/main/resources
2014-05-29 17:41:16,718 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-ejb:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ejb/pom.xml.
2014-05-29 17:41:19,791 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-ear:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/pom.xml.
2014-05-29 17:41:19,804 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:20,562 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:22,737 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:22,743 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-05-29 17:41:22,756 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:22,758 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2014-05-29 17:41:23,026 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: edu.quark:ams-quark-1-ejb:0.0.1-SNAPSHOT @ /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ejb/pom.xml.
2014-05-29 17:41:24,829 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.quark:ams-quark-1-web:war:0.0.1-SNAPSHOT is missing, no dependency information available
2014-05-29 17:41:24,981 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2014-05-29 17:41:24,982 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dmitrii/Cloud/Dropbox/DSE/SS/E5/Component-Based Software Engineering/quark/ams-quark-1/ear/src/main/resources
2014-05-29 17:41:25,081 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
